Version,Entry.number,Entry.status,Device_Type.name,Device_Model.manufacturer_identifier,Device_Model.model_identifier,Device_Model.hardware_version.version,Device_Model.hardware_version.revision,Device_Model.model_identifier_concatenated_with_hardware_version,Device_Model.firmware_version,SMETS_CHTS Version.Version_number_and_effective_date,GBCS Version.version_number,Manufacturer_Image.hash
Version 2.051 Issued on 21-09-2022,000051,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01001400,SMETS V2.0 ,GBCS Version 1.0 ,8D363CA631F8068C1FAB89FBE5C8826AB149F67D156126F68415DB98A3FB12C9
Version 2.051 Issued on 21-09-2022,000052,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01001400,SMETS V2.0 ,GBCS Version 1.0 ,56A4B4C03A4924FD70822EA6792C97C281B0BB850716876D50CFE6837E4100FA
Version 2.051 Issued on 21-09-2022,000053,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01001200,SMETS V2.0 ,GBCS Version 1.0 ,65482AF6BBA484076C540E37C77B33994A836DA175B3A220613B9575AF48425C
Version 2.051 Issued on 21-09-2022,000054,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01001200,SMETS V2.0 ,GBCS Version 1.0 ,F005B7427349E0A28F205FF2854791E001539E9B681452A56E7E3725ED0788FE
Version 2.051 Issued on 21-09-2022,000055,Removed,Gas Smart Meter,1063,4772,01,01,47720101,03030240,SMETS V2.0 ,GBCS Version 1.0 ,15C6206D4DDFF0E76997AEB704B48B0BCC93592E978D7DE405EA6167A4794027
Version 2.051 Issued on 21-09-2022,000056,Current,Communications Hub,1086,5431,1F,52,54311F52,0B180000,CHTS V1.0 ,GBCS Version 1.0 ,6293E9C09D56F9BCFE6F8C914E90A0701B4CA71E047A1BCAADFF85C68BCDDF12
Version 2.051 Issued on 21-09-2022,000057,Current,Communications Hub,1086,5432,20,52,54322052,0B180000,CHTS V1.0 ,GBCS Version 1.0 ,6293E9C09D56F9BCFE6F8C914E90A0701B4CA71E047A1BCAADFF85C68BCDDF12
Version 2.051 Issued on 21-09-2022,000058,Current,Communications Hub,1086,5434,21,52,54342152,0B180000,CHTS V1.0 ,GBCS Version 1.0 ,6293E9C09D56F9BCFE6F8C914E90A0701B4CA71E047A1BCAADFF85C68BCDDF12
Version 2.051 Issued on 21-09-2022,000059,Current,Pre-Payment Interface Device,10E0,0005,01,00,00050100,00070400,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000060,Current,Single Element Electricity Metering Equipment,1028,D700,01,03,D7000103,0434041B,SMETS V2.0 ,GBCS Version 1.0 ,B0D5FFA27496C65B4DD4518C262F9C783BDBDA3C826066EC2302732ABE2CC7F6
Version 2.051 Issued on 21-09-2022,000061,Current,Communications Hub,1072,5731,01,00,57310100,02100000,CHTS V1.0 ,GBCS Version 1.0 ,998371634F0CB19872F6B0C449A613BB9E37D48CD1E2A88E6BF2A859DC8960CB
Version 2.051 Issued on 21-09-2022,000062,Removed,Gas Smart Meter,1063,4772,01,01,47720101,03030241,SMETS V2.0 ,GBCS Version 1.0 ,2EF400432668836803F8FA56AC4CFC75AA47FFD1382AFFB031580F6C7B106829
Version 2.051 Issued on 21-09-2022,000063,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01002100,SMETS V2.0 ,GBCS Version 1.0 ,C0CF0C6BE373604572432B36C7A7096555246B84605343618387ABC4D873B80C
Version 2.051 Issued on 21-09-2022,000064,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01002100,SMETS V2.0 ,GBCS Version 1.0 ,26AEEA0662883D01B8C68DC3702C1133C8EF6D1344C19EFA183AB0D15FC5618A
Version 2.051 Issued on 21-09-2022,000065,Current,Pre-Payment Interface Device,1090,0007,01,00,00070100,01100000,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000066,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00040400,SMETS V2.0 ,GBCS Version 1.0 ,E05FAD7758142A21566926CCD1D77F3CEC6E23EC81BB141B66C1C39F820CD276
Version 2.051 Issued on 21-09-2022,000067,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01002200,SMETS V2.0 ,GBCS Version 1.0 ,DC5A6B5E804E44CE5AB620EEFF56C6809FBD6672C55C580C1C92156DB2E4AE43
Version 2.051 Issued on 21-09-2022,000068,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01002200,SMETS V2.0 ,GBCS Version 1.0 ,E328EBFE171B5F699F1262F2E7FEF0157F004351B2D1A4C7AB36D720ACE2685E
